,Id,User,Content,Date,Lang,Sentiment
0,768225400254111744,14628107,@NoilyMV yo soy totalmente puntual,Tue Aug 23 23:16:23 +0000 2016,es,NONE
1,770077064833671168,713600676,"@SandraCauffman Hola Sandrita. No le habia deseado un feliz dia de la madre, tarde pero seguro.¿ Sabe usted si Juno ha tomado mas fotos ?",Mon Aug 29 01:54:14 +0000 2016,es,P
2,771207534342320128,120940293,Si andan haciendo eso mejor se quedaran calladitas jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,Thu Sep 01 04:46:19 +0000 2016,es,N
3,771900763987513345,2827444381,Que pereza quiero choco banano,Sat Sep 03 02:40:58 +0000 2016,es,N
4,772550560998301697,60878511,"@robertobrenes Bueno, no es tanto lo mayor como cuánto de campo sea usted. Sos cartaguito en cada aspecto de tu vida, por lo visto.",Sun Sep 04 21:43:01 +0000 2016,es,N
5,772594807357124608,761015519646363648,Pasé todo el día buscando mi Baby Lips y lo acabo de encontrar. Estaba en la mesita de noche de fijo lo puse ahí dormida,Mon Sep 05 00:38:50 +0000 2016,es,NEU
6,772264329433509888,373097882,"@doriamdiaz El de Halfon de Germinal se ve mortal. Y los de Mary Jo Bang se fueron volando, pero todavía quedan. En Duluoz hay de Salcedo",Sun Sep 04 02:45:38 +0000 2016,es,P
7,771140523562143744,105199059,"Ahorita me van a cambiar las ligas de los brakets, Tengo alfajores argentinos en mi bulto, tengo hambre , ¿QUÉ HAGO? no puedo esperar más",Thu Sep 01 00:20:02 +0000 2016,es,NONE
8,773525753082187776,763016797,"El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos",Wed Sep 07 14:18:05 +0000 2016,es,P
9,774595982600253441,1411112113,"El amanecer respirando o2 puro, es más que un regalo... más si es a las 6:00 am frente al mar... preparando la mente con meditación.",Sat Sep 10 13:10:48 +0000 2016,es,P
10,774723515995914240,353322123,Acabo de ver una chamaca con un piercing de mota en el ombligo. Lo peor es que tiene cara de que lo que fuma es jamón,Sat Sep 10 21:37:34 +0000 2016,es,N
11,773655374796759041,105199059,"@ruthernandezj hahaha sq si tiene un 5 HACE RATO era de cambiarlo haha, yo creo que si aguanta el mio bastantito! Casi 1 año ya",Wed Sep 07 22:53:09 +0000 2016,es,NEU
12,774256876787671040,50489263,"Acabo de ver a una excompañera de trabajo y me sentí tentado a saludarla. Con la trompa del carro, a 150kmph, intencionalmente.",Fri Sep 09 14:43:19 +0000 2016,es,N
13,774803451830087680,49365786,@Colucci_99 ah si gracias Esas son las que he encontrado hasta ahora. Antes en pricesmart las vendían hace años pero ya no..,Sun Sep 11 02:55:12 +0000 2016,es,NONE
14,774852457209880576,763016797,"Buenas noches papus, que descansen",Sun Sep 11 06:09:56 +0000 2016,es,P
15,774865746639728640,78735781,Me faltan 50mil colones la única manera de hacer toda la entrada de Metallica es literal pichaseandome esta semana trabajar 12 horas,Sun Sep 11 07:02:44 +0000 2016,es,N
16,773360298472329216,469008210,Alvarado velando por mi salud,Wed Sep 07 03:20:38 +0000 2016,es,NONE
17,773378686301016065,84120089,"@josdav17 nunca hacen nada, hasta que exista según ellos más evidencia o sea aparecer más de 4 veces al día en tu casa no es válido",Wed Sep 07 04:33:42 +0000 2016,es,N
18,775116236912984064,90819048,@Manryev ¡Me alegra muchísimo que te gustara! Igualmente un placer saludarte La próxima que vengás a SJ avisá con tiempo y vamos por café,Sun Sep 11 23:38:06 +0000 2016,es,P
19,768160329486495744,1240046863,Hoy tengo 2 preguntas existenciales...1) ¿Por qué hoy esta haciendo TANTO frío? y 2) ¿Porque me volvió a dar hipo después de tantos años?,Tue Aug 23 18:57:48 +0000 2016,es,NONE
20,768203766898233345,103368235,Aquí en #Chepe ¿dónde consigo un buen sartén de hierro? Vi unos en Universal marca GIBSON q ni siquiera aparecen en internet,Tue Aug 23 21:50:25 +0000 2016,es,NONE
21,769270495971770368,243726408,@sancarlena77 @frankgrs nunca dije lo contrario,Fri Aug 26 20:29:13 +0000 2016,es,NONE
22,769305893976485888,745941140,A mí me dan ganas de volarmelo pero me acuerdo de que mi pelo es un desmadre y me lo dejo quedito,Fri Aug 26 22:49:52 +0000 2016,es,N
23,769344454088019968,1220081238,"Pobre Bastian Scheweisteinger lo que le está pasando en el United, es muy crack y el genio de Mou no lo quiere",Sat Aug 27 01:23:06 +0000 2016,es,P
24,769339737043677186,38108969,"@kanygarcia esaaa la mejor de las suertes! Disfruta la noche, disfruta del #GranRex saludos desde Costa Rica! Buena vida, pura vida!!!",Sat Aug 27 01:04:21 +0000 2016,es,P
25,757258941210382340,408201040,"""Mae mañana llego a las 10, cuidado te quedas dormida porque a las 10 estoy ahí"" -Liena, se quedó dormida y no ha llegado.",Sun Jul 24 16:59:35 +0000 2016,es,N
26,757247192050446337,408201040,Mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los 1000 extra clases que tengo para el martes.,Sun Jul 24 16:12:54 +0000 2016,es,NONE
27,757252258127941632,103368235,"@francetvinfo @mr_matth @France2tv Cómo?Por años él ha sido parte del Tour,junto con las bicis y las camisas amarilla. MUCHAS GRACIAS!!",Sun Jul 24 16:33:02 +0000 2016,es,P
28,757123970256605185,144683262,Mejor me duermo buenas noches,Sun Jul 24 08:03:15 +0000 2016,es,NEU
29,757418118947872768,4367411532,"Mi horario de este semestre es tan tan feo, que me tendré que despedir de mi poca vida social y del estreno de suicide squad",Mon Jul 25 03:32:06 +0000 2016,es,N
30,756912334816186368,718604377376694273,Sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso.,Sat Jul 23 18:02:18 +0000 2016,es,N
31,756520939492302849,17639330,"Maes, la vida es una mierda: estén felices o no. Mejor sonrían y aprovechen el tiempo. Estar amargado no la va a hacer menos mierda.",Fri Jul 22 16:07:02 +0000 2016,es,NEU
32,756650097102893056,2774677761,"@rociomoram29 que mal y por eso es que están jugando, yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno...",Sat Jul 23 00:40:15 +0000 2016,es,N
33,756618178650923008,712435253273432064,Parce yo estoy igual @PaisaVlogs,Fri Jul 22 22:33:25 +0000 2016,es,NEU
34,756700943043928064,105199059,Gracias a Dios cerrando con broche de oro! Dios siempre dando lo mejor a sus Hijos esta semana fue mucho mejor que la pasada! #thnksGod,Sat Jul 23 04:02:18 +0000 2016,es,P
35,756313579872096256,1081884476,"Hola, soy Paulo y soy parte de la primera generación que va a tener resolución de problemas en bachi de mate",Fri Jul 22 02:23:03 +0000 2016,es,NONE
36,756354568003457024,65718560,"@donovanrp excelente, cuando me den el carro lo molesto, igual no conozco a nadie mas q haga Uber asi que el bono es suyo",Fri Jul 22 05:05:56 +0000 2016,es,P
37,757793484468211713,221930699,"@KristelS18 Acá tengo pero ugh, la canela no me gusta mucho es que es que me cae pesado, pero se me quitará.. Gracias Kris.",Tue Jul 26 04:23:40 +0000 2016,es,N
38,756184498606190592,1129901852,Yo solo quiero dormir mas,Thu Jul 21 17:50:08 +0000 2016,es,N
39,775941293411176450,763016797,"Buenas noches papus, que descansen",Wed Sep 14 06:16:35 +0000 2016,es,P
40,775928256633581568,321093775,"Oiga @NarcosNetflix porque no me reviven a Escobar, pa que se ponga interesante la serie.! eh jajajaja ( es en serio)",Wed Sep 14 05:24:47 +0000 2016,es,N
41,756194807630798853,65476740,El único senador q se dirigió en español a la audiencia republicana para apoyar a @realDonaldTrump es de padres costarricenses Qué pena!,Thu Jul 21 18:31:06 +0000 2016,es,N
42,758066276388384768,42094769,"El horario me quedo tan perfecto y tengo tan buenas eectativas de los profes que ya quiero entrar a clases. Tan #bichoRaro, lo sé",Tue Jul 26 22:27:39 +0000 2016,es,P
43,755513187957518336,2242118248,"@msroucks Wtf Yo tengo mi biblia firmada por el diablo Okno, pero eso es lo que se me vino a la mente :v",Tue Jul 19 21:22:35 +0000 2016,es,NONE
44,760675856326860800,457080806,Sólo mi mamá logra por primera vez una cena en paz con TODA la familia Rodríguez Qué feliz soy de tener la madre que tengo,Wed Aug 03 03:17:11 +0000 2016,es,P
45,760711448544837632,1717416344,"Yo vivo a 25 metros de la Basílica y salí a ver el juego de polvora de estos dos días, muy bonito #nadaquehacer",Wed Aug 03 05:38:37 +0000 2016,es,P
46,759198767451025408,69747215,@AnaVM @Katagelon fijo está demasiado hermoso,Sat Jul 30 01:27:46 +0000 2016,es,P
47,760357231913119744,2440055535,"Viendo Looking, Queers as Folk y así, me doy cuenta que nunca he tenido un grupo de mejores amigos gays. ¿alguien me adopta?",Tue Aug 02 06:11:05 +0000 2016,es,P
48,760177672525783040,1191797700,Recuerdo cuando le escribía a mi hermana @Andreagraseq79 para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana,Mon Aug 01 18:17:35 +0000 2016,es,P
49,760585615532437506,2774677761,"Hoy inicia la concachampions 2016-2017 pero realmente no importa porque no esta la @ldacr, en todo caso la voy a seguir porque si",Tue Aug 02 21:18:36 +0000 2016,es,N
50,760090117587476480,1191797700,"Buenos días. Inicio de mes. A darlo todo, aunque sea ""más o menos bueno en algo"". Feliz inicio de semana",Mon Aug 01 12:29:40 +0000 2016,es,P
51,759229676669792257,438910231,"Llego a la casa a las 9:20 caminando, no hay comida, todos están dormidos, mañana tengo clases a las 8am, todo esta bien",Sat Jul 30 03:30:35 +0000 2016,es,N
52,760756300007477248,2824997388,"Lo termine a las 2 am hora Costa Rica, porque se me hizo súper adictivo. Me gusto pero no me encanto #LCshinyforflowers",Wed Aug 03 08:36:50 +0000 2016,es,P
53,761208380954337280,537526167,Yo estoy triste por Raps,Thu Aug 04 14:33:15 +0000 2016,es,N
54,761702018197164032,1119807014,"Fiesta bananera, día de la cerveza, Semana 14, último día de eeriencia y así no quieren que me vaya de parranda?",Fri Aug 05 23:14:47 +0000 2016,es,P
55,763031266169982977,513757088,esta estupida de Abis a la par mía esperando a que saquen el desgraciado Trailer de Resident Evil fuck hasta as 12 md LA vamoooos,Tue Aug 09 15:16:44 +0000 2016,es,P
56,762833657526497281,23546489,"@byCoba con agua, hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana, me han durado hasta más de 1 mes.",Tue Aug 09 02:11:31 +0000 2016,es,P
57,763042513913544705,90932581,Nos encanta hacerte feliz @rubndu,Tue Aug 09 16:01:26 +0000 2016,es,P
58,764523142995783680,2774677761,@miguesl21 en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada,Sat Aug 13 18:04:56 +0000 2016,es,NEU
59,763092730163568640,739188522733604864,Yo ni se que le hice me deja de hablar de la nada y ni sabe cuanto la extraño. Chas gracias,Tue Aug 09 19:20:59 +0000 2016,es,N
60,762980998762012672,270376299,Y las emergencias? La gente que necesita ir a hospitales? Los que esperan cita desde hace años? Ahhh no! Yo apoyo el paro nacional jijis,Tue Aug 09 11:57:00 +0000 2016,es,N
61,763162519582052352,104178963,@nubecina entonces no es indigente ni tiene problemas mentales? Eso no justifica nada. La lanza como 1 muñeca a la calle,Tue Aug 09 23:58:18 +0000 2016,es,N
62,765284549127442436,3276105882,No voy a poder ver a mi mamá el día de la madre. Por un hijo de la grandísima puta. Bien,Mon Aug 15 20:30:29 +0000 2016,es,N
63,764569008465072129,4878793919,La Daniela me tienen griseada.,Sat Aug 13 21:07:11 +0000 2016,es,N
64,758120146607091712,322639655,"@jdclarke totalmente, lo del físico se deja atrás cuando el una persona atractiva en todo sentido. Incluyendo sus propuestas y cerebro",Wed Jul 27 02:01:42 +0000 2016,es,P
65,755603120034488320,3877070472,@lenaychantelle Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye,Wed Jul 20 03:19:56 +0000 2016,es,NONE
66,755006351793807360,745941140,Acabo de preguntarle al Mae de a la par que para donde va pero no fue por vina Esque estoy demasiado perdidaaaa,Mon Jul 18 11:48:36 +0000 2016,es,NONE
67,755234728156864512,187024045,"Hoy están participando muchas más mujeres, lo que me alegra mucho. Ya sea para preguntas propias o para hacer preguntas por su pareja",Tue Jul 19 02:56:05 +0000 2016,es,P
68,758395896094752768,104178963,"@me_aburris Sí he visto q los motociclistas andan especialmente violentos. Le pegan a los carros, los patean, le gritan a la gente y esto",Wed Jul 27 20:17:26 +0000 2016,es,N
69,755966460355235840,120940293,"Lo bueno es que voy para Talamanca y Cahuita en una gira, lo malo es que es el finde antes del examen de analítica",Thu Jul 21 03:23:43 +0000 2016,es,NEU
70,758632139751579649,1905692930,No me quiero levantar aiuda,Thu Jul 28 11:56:11 +0000 2016,es,N
71,758451150349664256,754852950598676480,"Mmm no quiero hacer spoiler pero hoy va a ver algo nuevo en el canal,lo podras ver en el nuevo video que subire en unas horas",Wed Jul 27 23:57:00 +0000 2016,es,NEU
72,766391854149623809,63517743,"@hugozap quizá para profesionales no sea mucho,pero hay no remunerados principalmente femenino para quienes es un sueño, pasa en mi país",Thu Aug 18 21:50:31 +0000 2016,es,N
73,767053112007733248,1115644706,X:¿Qué perfume usas? Yo: Victoria's Secret X: Ah yo uso uno de Pink que es más caro que ese!,Sat Aug 20 17:38:07 +0000 2016,es,N
74,766460456634425344,1370692800,"Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida",Fri Aug 19 02:23:07 +0000 2016,es,N
75,767170856778928133,1307647634,@EsGermanDZ Quiero hacer una pregunta.  Si puedo? Yay.! Bueno la pregunta es.. ¿Vas o irías a un Jóvenes en Victoria?,Sun Aug 21 01:26:00 +0000 2016,es,NONE
76,767154504647139328,221930699,"@JArmandoCS ¿Vos también estabas? Ay que triste nombres sí, yo estaba durmiendo, para ir a clase hoy a las 7:30am ¡¡Te extraño bebé!!",Sun Aug 21 00:21:01 +0000 2016,es,N
77,767156227042226177,221930699,@JArmandoCS solo me quedan 3 sábados más así jiji. ¿Qué días estás yendo a la U que no te he visto?,Sun Aug 21 00:27:52 +0000 2016,es,NEU
78,761474790284595200,3301765338,Que feo eso de decepcionarse,Fri Aug 05 08:11:52 +0000 2016,es,N
79,762419931371622400,4282950194,Delicioso @ San Rafael Ezcazu,Sun Aug 07 22:47:31 +0000 2016,es,P
80,761938992849838081,105199059,"@KhaMoreno hahahaha no lo había visto! Pero ojo, me desperté a las 8 y estoy tratando de dormir no puede ser q ste despierto aún",Sat Aug 06 14:56:26 +0000 2016,es,NEU
81,761195957903953920,69747215,"@AnaVM llego tarde, soy huge fan la empecé en el 2000, crecí con ella sube y cae tiene de todo como toda serie, temporadas favoritas...",Thu Aug 04 13:43:53 +0000 2016,es,P
82,762076127376515073,161567591,"@MicroCoAnSh seamos sinceros: Mi rostro inocente y un: Amigo, no me podés abrir? Es que perdí las llaves y mi roommate no contesta Abre",Sun Aug 07 00:01:22 +0000 2016,es,NONE
83,760726897819017216,392538579,"@CotoLau @AndreCorts yo también tuve los libros de AMP y no me convecieron :/, yo pasé los exámenes pero gracias a los exámenes viejos",Wed Aug 03 06:40:00 +0000 2016,es,NEU
84,760715780732354561,275273434,@itsdylanjos yo solo las cucas,Wed Aug 03 05:55:50 +0000 2016,es,NONE
85,762534291255414784,157193863,"@Starbucks_cr Hola, quería agradecer al personal del Starbucks de La Sabana por guardar mi cartera olvidada Son los mejores, saludos",Mon Aug 08 06:21:56 +0000 2016,es,P
86,761372585900638208,69747215,"@Danileivacr buenísimo!! Yo mañana voy a clase de 6 de la tarde que es yoga Dance, es como yoga pero aeróbico",Fri Aug 05 01:25:44 +0000 2016,es,P
87,777291543321260032,1708963986,"Ya no estoy para andarle sacando conversación a alguien, si la vara fluye bueno, y sino va pa' la mierda.",Sat Sep 17 23:41:59 +0000 2016,es,N
88,777637901777514497,537526167,Me cago en la puta,Sun Sep 18 22:38:18 +0000 2016,es,N
89,779066354758397954,420745704,El post que compartió @LuisLauretto no voy a poder estar tranquila hasta que anuncie quién viene. Y ya estoy pobre #GnR #Metallica,Thu Sep 22 21:14:27 +0000 2016,es,N
